Rent,BHK,Size,Bathroom,residence_floor,residence_max_floor,Tenant_bachelors,Tenant_family,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Point of Contact_Contact Builder,Point of Contact_Contact Owner
10000,2,1100,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
20000,2,800,1,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
17000,2,1000,1,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
10000,2,800,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
7500,2,850,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
7000,2,600,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
10000,2,700,2,1,4,1,0,0,1,0,0,0,1,0,0,1,0,0
5000,1,250,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0
26000,2,800,2,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0
10000,2,1000,2,1,3,1,1,1,0,0,0,0,1,0,1,0,0,1
25000,3,1200,2,1,4,1,1,1,0,0,0,0,1,0,1,0,0,0
5000,1,400,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
6500,1,250,1,1,4,1,0,1,0,0,0,0,1,0,0,0,0,1
5500,1,375,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
8500,3,900,2,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
40000,3,1286,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
6000,2,600,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
10000,2,800,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
11000,2,2000,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1
6000,2,660,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
7900,2,650,1,1,2,0,1,1,0,0,0,0,1,0,0,1,0,1
9000,2,400,2,2,3,1,0,1,0,0,0,0,1,0,0,1,0,1
4000,1,300,1,1,4,1,1,1,0,0,0,0,1,0,0,1,0,1
6500,3,1600,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
8000,1,400,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
7000,2,1000,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
5300,1,355,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0
6000,2,1000,1,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
8500,2,800,1,4,5,1,1,0,1,0,0,0,1,0,0,1,0,1
12500,2,850,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
7500,1,350,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
15000,2,900,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
6000,2,550,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
5000,2,500,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
22000,3,1100,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1
15000,2,850,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1
12500,2,800,1,2,2,1,0,1,0,0,0,0,1,0,0,1,0,0
7000,2,630,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,1
21000,2,900,2,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1
10000,1,270,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1
7200,2,630,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
12000,3,1500,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1
5000,1,600,1,2,5,1,1,0,1,0,0,0,1,0,0,1,0,1
8500,2,700,1,4,14,1,1,1,0,0,0,0,1,0,1,0,0,1
6000,1,300,1,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
10000,2,1300,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1
4600,2,400,1,3,3,1,0,1,0,0,0,0,1,0,1,0,0,1
12000,2,650,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1
30000,3,2000,2,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
15000,3,1068,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
7500,1,150,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
7500,1,450,1,2,2,1,0,1,0,0,0,0,1,0,0,1,0,1
5000,2,800,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
15000,2,1000,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
11000,2,900,1,5,5,1,0,0,1,0,0,0,1,0,1,0,0,1
7000,1,600,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
6000,2,1200,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
6000,2,1200,2,2,2,1,0,0,1,0,0,0,1,0,1,0,0,1
7000,2,650,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
8500,2,720,2,4,4,1,1,1,0,0,0,0,1,0,1,0,0,1
5000,1,300,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,1
30000,3,1200,3,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
10000,2,700,2,7,8,1,1,1,0,0,0,0,1,0,0,1,0,1
30000,3,2000,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
3500,1,250,1,1,4,1,1,0,1,0,0,0,1,0,1,0,0,1
8000,2,1100,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,1
5000,1,300,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
7500,2,600,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
6500,2,800,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
7500,1,680,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
7500,1,680,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
16000,2,850,1,1,4,1,0,1,0,0,0,0,1,0,1,0,0,0
16000,2,850,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,0
6500,2,700,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,1
40000,3,1500,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
12500,2,950,2,1,4,1,1,0,1,0,0,0,1,0,1,0,0,1
5500,2,500,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
5000,1,450,1,2,4,1,1,1,0,0,0,0,1,0,1,0,0,1
6500,2,700,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,1
8000,1,500,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
14500,3,1800,2,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
